"indiv","sex","ars","f","smlh","pack","migrant","littersize","littersync","index","rain","rainsd","age","packsize","fhresid"
"FM079","M",0,0.125,0.964939476173631,"4B",TRUE,14,TRUE,0,70.2416666666667,46.8884451424739,2,25.0833333333334,0.0242785464281179
"FM083","M",0,0.25,0.873365923560226,"4B",TRUE,14,TRUE,NA,63.9333333333333,40.0490910879348,1,22.4166666666667,0.0363120804664352
"FM083","M",0,0.25,0.873365923560226,"4B",TRUE,14,TRUE,NA,70.2416666666667,46.8884451424739,2,25.0833333333334,0.0363120804664352
"DM039","M",0,0.125,0.914153187953966,"11",FALSE,11,TRUE,0.857142857142857,58.15,30.8510350496764,1,17.4166666666667,-0.0265077417915469
"DM039","M",0,0.125,0.914153187953966,"11",FALSE,11,TRUE,0.857142857142857,72.3666666666667,49.6510978242326,2,24.25,-0.0265077417915469
"DM039","M",0,0.125,0.914153187953966,"11",FALSE,11,TRUE,0.857142857142857,63.475,29.9452872297583,3,14.5833333333333,-0.0265077417915469
"DF051","F",0,0,1.07751556102869,"11",FALSE,8,TRUE,0.583333333333333,67.0833333333333,48.2716712205434,1,21,0.0332475446314577
"DF051","F",0,0,1.07751556102869,"11",FALSE,8,TRUE,0.583333333333333,60.2083333333333,26.7529933187887,2,21.5,0.0332475446314577
"DF051","F",2,0,1.07751556102869,"11",FALSE,8,TRUE,0.583333333333333,59.5833333333333,40.7840395104246,3,13.4166666666667,0.0332475446314577
"DF051","F",0,0,1.07751556102869,"11",FALSE,8,TRUE,0.583333333333333,66.9916666666667,26.9574903853973,4,25.9166666666666,0.0332475446314577
"DM054","M",0,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,67.0833333333333,48.2716712205434,1,21,0.000167564989816872
"DM054","M",0,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,60.2083333333333,26.7529933187887,2,21.5,0.000167564989816872
"DM054","M",0,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,59.5833333333333,40.7840395104246,3,13.4166666666667,0.000167564989816872
"DM054","M",3,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,66.9916666666667,26.9574903853973,4,25.9166666666666,0.000167564989816872
"DM054","M",0,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,65.6583333333333,17.8051299213219,5,21,0.000167564989816872
"DM054","M",0,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,57.475,50.8905443083487,6,20.4166666666667,0.000167564989816872
"DM054","M",1,0,1.04443558138705,"11",FALSE,8,TRUE,0.0625,53.125,40.3530808782135,7,22.4166666666666,0.000167564989816872
"DF056","F",0,0,0.952763655014193,"11",FALSE,5,TRUE,0.454545454545455,69.2583333333333,47.4731590831423,1,22.75,-0.0915043613830423
"DM057","M",0,0,0.890121550415007,"11",FALSE,5,TRUE,0.75,69.2583333333333,47.4731590831423,1,22.75,-0.154146465982228
"DM059","M",0,0,0.936970053068429,"11",FALSE,5,TRUE,0.375,69.2583333333333,47.4731590831423,1,22.75,-0.107297963328807
"DM124","M",0,0.125,0.6558790371479,"11",FALSE,4,TRUE,1,68.175,20.3667342408243,1,23.3333333333333,-0.284781892597613
"DM126","M",1,0.0625,1.12436406368211,"11",FALSE,4,TRUE,0.384615384615385,68.175,20.3667342408243,1,23.3333333333333,0.13189959061074
"DM126","M",0,0.0625,1.12436406368211,"11",FALSE,4,TRUE,0.384615384615385,66.7583333333333,44.2773994952347,2,21.4615384615384,0.13189959061074
"DM126","M",0,0.0625,1.12436406368211,"11",FALSE,4,TRUE,0.384615384615385,53.625,34.2614314035211,3,21.6666666666667,0.13189959061074
"DM126","M",0,0.0625,1.12436406368211,"11",FALSE,4,TRUE,0.384615384615385,57.525,58.6037250600087,4,21.8333333333334,0.13189959061074
"DM126","M",2,0.0625,1.12436406368211,"11",FALSE,4,TRUE,0.384615384615385,67.6583333333333,37.4228772600964,5,23.0833333333334,0.13189959061074
"DM126","M",1,0.0625,1.12436406368211,"11",FALSE,4,TRUE,0.384615384615385,83.3166666666667,63.6509634767232,6,24.25,0.13189959061074
"SM009","M",0,0,1.15087419111055,"17",FALSE,9,TRUE,0.4,68.7333333333333,18.7293805815808,1,5.16666666666666,0.106606174713315
"SM009","M",0,0,1.15087419111055,"17",FALSE,9,TRUE,0.4,54.2,49.7026247706387,2,3.75,0.106606174713315
"SM009","M",1,0,1.15087419111055,"17",FALSE,9,TRUE,0.4,50.55,35.8254734156374,3,9.5,0.106606174713315
"SM009","M",0,0,1.15087419111055,"17",FALSE,9,TRUE,0.4,75.8833333333333,46.3221885441,4,10.8333333333333,0.106606174713315
"SM009","M",1,0,1.15087419111055,"17",FALSE,9,TRUE,0.4,61.825,43.4555807693327,5,11.0833333333333,0.106606174713315
"SM013","M",0,0,0.911751521456823,"17",FALSE,9,TRUE,0.625,68.7333333333333,18.7293805815808,1,5.16666666666666,-0.132516494940412
"SM013","M",0,0,0.911751521456823,"17",FALSE,9,TRUE,0.625,54.2,49.7026247706387,2,3.75,-0.132516494940412
"SM013","M",1,0,0.911751521456823,"17",FALSE,9,TRUE,0.625,50.55,35.8254734156374,3,9.5,-0.132516494940412
"SM013","M",3,0,0.911751521456823,"17",FALSE,9,TRUE,0.625,75.8833333333333,46.3221885441,4,10.8333333333333,-0.132516494940412
"SM013","M",3,0,0.911751521456823,"17",FALSE,9,TRUE,0.625,61.825,43.4555807693327,5,11.0833333333333,-0.132516494940412
"SM013","M",0,0,0.911751521456823,"17",FALSE,9,TRUE,0.625,74.3833333333333,55.288036406595,6,10.9230769230769,-0.132516494940412
"KM052","M",0,0.265625,0.694843157589396,"15",TRUE,10,TRUE,0.724137931034483,69.4583333333333,46.3147425641974,1,11.4166666666667,-0.12925979967293
"KM052","M",0,0.265625,0.694843157589396,"15",FALSE,10,TRUE,0.724137931034483,61.4916666666667,27.0094077325032,2,12.7692307692308,-0.12925979967293
"HM098","M",0,0.015625,0.936970053068429,"1H",FALSE,9,FALSE,NA,68.9,46.5287398965804,1,22.8461538461539,-0.0943470774973413
"HM098","M",2,0.015625,0.936970053068429,"1H",FALSE,9,FALSE,NA,63.825,25.7144149527777,2,18,-0.0943470774973413
"HM098","M",1,0.015625,0.936970053068429,"1H",FALSE,9,FALSE,NA,60.2416666666667,39.5077313108882,3,14.4166666666667,-0.0943470774973413
"HM098","M",3,0.015625,0.936970053068429,"1H",FALSE,9,FALSE,NA,69.7166666666667,20.8021342145172,4,14.4166666666667,-0.0943470774973413
