"indiv","pack","sex","daten","litter","index","rain","rainsd","brain","f","smlh","avweight","avage","dup","old_index","litter_eobservations","escort_eobservations","record_end","litter_eobservations2","fhresid"
"DM118","11","M",39713,"D0702",0.333333333333333,61.3333333333333,40.3477234534836,1.63,0.125,1.061059937331,1399.6,364.4,FALSE,0.6,18,6,39983,18,0.114627862273216
"BM352","1B","M",39745,"B0707",0.80952380952381,58.875,37.5123282765449,4.29333333333333,0.0625,1.12436406368211,1444.5,365.666666666667,FALSE,0.894736842105263,21,17,40184,21,0.144131966855767
"BM354","1B","M",39745,"B0707",0.0952380952380952,58.875,37.5123282765449,4.29333333333333,0.125,1.12436406368211,1490.2,365.4,FALSE,0.153846153846154,21,2,40866,21,0.177931988624326
"BM362","1B","M",39745,"B0707",0.238095238095238,58.875,37.5123282765449,4.29333333333333,0.125,0.421636523880793,1642.33333333333,365.666666666667,FALSE,0.384615384615385,21,5,40184,21,-0.524795551176995
"BF363","1B","F",39745,"B0707",0.285714285714286,58.875,37.5123282765449,4.29333333333333,0.0625,0.890121550415007,1593.66666666667,365.666666666667,FALSE,0.4,21,6,40256,21,-0.0901105464113404
"BF365","1B","F",39745,"B0707",0.761904761904762,58.875,37.5123282765449,4.29333333333333,0,0.702727539801322,1583.5,365.666666666667,FALSE,0.8,21,16,40256,21,-0.311304578793586
"BM359","1B","M",39752,"B0707",0.380952380952381,58.875,37.5123282765449,4.29333333333333,0.0625,0.562182031841057,1182.33333333333,364.333333333333,FALSE,0.727272727272727,21,8,39801,21,-0.418050064985291
"BM360","1B","M",39752,"B0707",0.285714285714286,58.875,37.5123282765449,4.29333333333333,0.0625,0.98381855572185,1451,368.2,FALSE,0.4,21,6,40175,21,0.00358645889550236
"BF361","1B","F",39752,"B0707",0.571428571428571,58.875,37.5123282765449,4.29333333333333,0,1.17121256633554,1760.2,368.2,FALSE,0.705882352941177,21,12,40256,21,0.157180447740629
"VM082","15","M",39906,"V0801",0.869565217391304,66.9916666666667,26.9574903853973,2.92,0.0078125,1.18443162362867,1227.5,361.5,FALSE,0.952380952380952,23,20,40104,23,0.174624507754835
"VF083","15","F",39906,"V0801",0.652173913043478,66.9916666666667,26.9574903853973,2.92,0.0078125,1.05810326609037,1138.5,361.5,FALSE,0.789473684210526,23,15,40228,23,0.0482961502165286
"HM163","1H","M",39925,"H0802",0.944444444444444,70.4083333333333,29.1506263252012,0.576666666666667,0.125,0.98381855572185,1193,367,FALSE,NA,18,17,40352,18,0.0373864806640619
"HM166","1H","M",39925,"H0802",0.611111111111111,70.4083333333333,29.1506263252012,0.576666666666667,0.0625,0.890121550415007,1243,367.833333333333,FALSE,0.785714285714286,18,11,41367,18,-0.0901105464113404
"FM150","4B","M",39939,"F0802",0.352941176470588,68.85,26.810225322033,1.71,0.0625,1.17121256633554,1164.71428571429,369,FALSE,0.75,17,6,40473,17,0.190980469509188
"FF152","4B","F",39939,"F0802",0.823529411764706,68.85,26.810225322033,1.71,0.09375,0.843273047761586,1040.4,363.6,FALSE,0.933333333333333,17,14,41095,17,-0.120059038180482
"VM087","15","M",39956,"V0802",0.8,71.0083333333333,26.5043892877227,3.51724137931035,0.015625,1.12436406368211,1046.875,367.375,FALSE,0.923076923076923,15,12,40345,15,0.118781950529347
"VM096","15","M",40102,"V0803",0.75,69.7,21.5918755764545,2.76,0.015625,0.589039523156146,1071.5,365,FALSE,0.6,4,3,42032,4,-0.416542589996621
"SM009","17","M",40056,"S0804",0.25,72.7416666666667,24.8468567001701,3.44666666666667,0,1.15087419111055,987.2,360.4,FALSE,0.4,8,2,41907,8,0.136842072515643
"SM013","17","M",40056,"S0804",0.625,72.7416666666667,24.8468567001701,3.44666666666667,0,0.911751521456823,1097.4,364.7,FALSE,0.625,8,5,42378,8,-0.102280597138084
"DM131","11","M",40084,"D0803",0.466666666666667,70.3833333333333,22.6749695131932,2.76,0.25,0.893000666789028,1106.875,363,FALSE,0.583333333333333,15,7,41101,15,0.0141686352683592
"FM157","4B","M",40086,"F0804",0.75,70.825,23.4756401790916,3.31666666666667,0,0.953826927318306,1164,360.5,FALSE,0.9,12,9,40233,12,-0.0602051912766018
"HF178","1H","F",40086,"H0804",0.666666666666667,68.7833333333333,20.4815142077539,3.33333333333333,0,1.00701491722173,1108.77777777778,363.888888888889,FALSE,0.909090909090909,15,10,42532,15,-0.00701720137317607
"HM180","1H","M",40086,"H0804",0.533333333333333,68.7833333333333,20.4815142077539,3.33333333333333,0.28125,0.767249460740367,1137,363.888888888889,FALSE,1,15,8,42532,15,-0.0946825598960226
"BF426","1B","F",40130,"B0806",0.636363636363636,70.1416666666667,19.177660220036,2.25666666666667,0.03125,1.1016494846481,1456.66666666667,363.833333333333,FALSE,0.727272727272727,11,7,40838,11,0.104517376937468
"HF182","1H","F",40234,"H0901",0.2,68.9833333333333,19.0118065390638,3.1,0.08203125,0.936970053068429,1147.5,365.833333333333,FALSE,0.142857142857143,5,1,42532,5,-0.0326995369552441
"HF183","1H","F",40234,"H0901",0.6,68.9833333333333,19.0118065390638,3.1,0.08203125,1.18709582815596,1057.5,365.833333333333,FALSE,0.333333333333333,5,3,40936,5,0.217426238132287
"HF184","1H","F",40247,"H0901",0.8,68.9833333333333,19.0118065390638,3.1,0.08203125,1.12436406368211,1162.2,369,FALSE,0.5,5,4,40840,5,0.154694473658442
"BM445","1B","M",40340,"B0903",1,69.1666666666667,34.384466189713,4.49,0,0.98381855572185,1449.625,367,FALSE,0.8,4,4,40866,4,-0.0302135628730572
"BF454","1B","F",40340,"B0903",0,69.1666666666667,34.384466189713,4.49,0,1.05810326609037,1342.28571428571,366.428571428571,FALSE,0,4,0,40892,4,0.0440711474954586
"VM106","15","M",40374,"V0904",0.526315789473684,66.6083333333333,37.7389949842897,1.29,0.02734375,1.00701491722173,820.714285714286,363.714285714286,FALSE,0.714285714285714,19,10,40501,19,0.00777030815056875
"VM107","15","M",40374,"V0904",0.894736842105263,66.6083333333333,37.7389949842897,1.29,0.02734375,1.14503966727178,1178.83333333333,364.5,FALSE,1,19,17,41669,19,0.145795058200617
"VM109","15","M",40374,"V0904",0.947368421052632,66.6083333333333,37.7389949842897,1.29,0.015625,1.10619886909447,1113.14285714286,363.714285714286,FALSE,1,19,18,41078,19,0.100616755941706
"DM164","11","M",40450,"D0904",1,63.0833333333333,40.9002963610808,1.80666666666667,0,1.26490957164238,1239.66666666667,360.666666666667,FALSE,0.8,3,3,40624,3,0.250877453047471
